Footpath ID,Road Name,Road ID,Area,Displacement,Position,ERP,Side,Asset,Zone,Type,Fault,Cause,Size,Length,Width,Grade,Comments,Inspection Date,Easting,Northing,Latitude,Longitude,FaultTime,Photo,Inspector,Seq,FaultNo
30,ADDINGTON PL,865,NCC,Middle,11 (Opposite #6),76,L,Pram Crossing,Urban,Concrete,Crack,Vehicles,1x1,1,1.2,3,,19-Nov-19,1931115,5615796,-39.543663,176.852975,9/01/2020 13:55,19029,,1,16511
1154,ADDISON ST,1,NCC,Middle,(Opposite #26),21,L,Footpath,Urban,Concrete,Trip Hazard,Age,1x1,1,1.4,3,,19-Nov-19,1934261,5619013,-39.51352,176.887886,16/12/2019 10:58,13732,,2,12470
1154,ADDISON ST,1,NCC,Middle,(Opposite #26),21,L,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,1.4,4,,19-Nov-19,1934261,5619013,-39.51352,176.887886,16/12/2019 10:58,13728,,3,12469
1154,ADDISON ST,1,NCC,Middle,(Opposite #26),24,L,Footpath,Urban,Concrete,Scabbing,Vehicles,3x1,3,1.4,3,,19-Nov-19,1934260,5619016,-39.513494,176.887875,16/12/2019 10:58,13744,,4,12471
1154,ADDISON ST,1,NCC,Middle,8 (Opposite #22A),71,L,Footpath,Urban,Concrete,Crack,Vehicles,1x1,1,1.4,3,,19-Nov-19,1934247,5619062,-39.513088,176.887692,16/12/2019 10:59,13770,,5,12472
1154,ADDISON ST,1,NCC,Middle,10 (Opposite #18),95,L,Footpath,Urban,Concrete,Crack,Vehicles,1x1,1,1.4,3,,19-Nov-19,1934239,5619084,-39.512889,176.887588,16/12/2019 10:59,13789,,6,12473
1154,ADDISON ST,1,NCC,Middle,10 (Opposite #18),98,L,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,1.4,3,,19-Nov-19,1934237,5619087,-39.512867,176.887566,16/12/2019 10:59,13794,,7,12474
1154,ADDISON ST,1,NCC,Middle,14-7B (Opposite #20),118,L,Footpath,Urban,Concrete,Crack,Vehicles,1x1,1,1.4,3,,19-Nov-19,1934238,5619103,-39.512723,176.88757,16/12/2019 10:59,13809,,8,12475
3317,ADDISON ST,1,NCC,Accessway (Joins another road),12 (Opposite #14-7B),131,L,Footpath,Urban,Concrete,Scabbing,Age,1x2,1,2,3,,19-Nov-19,1934220,5619112,-39.512646,176.887358,15/01/2020 12:54,2212,,9,17671
2581,ADDISON ST,1,NCC,Middle,26,29,R,Footpath,Urban,Concrete,Trip Hazard,Age,1x1,1,1.4,3,,19-Nov-19,1934269,5619023,-39.513428,176.887967,16/12/2019 11:01,13899,,10,12480
2581,ADDISON ST,1,NCC,Middle,26,33,R,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,1.4,4,,19-Nov-19,1934267,5619027,-39.513394,176.887953,16/12/2019 11:01,13896,,11,12479
2581,ADDISON ST,1,NCC,Middle,26 (Opposite #4),38,R,Footpath,Urban,Concrete,Crack,Vehicles,1x1,1,1.4,3,,19-Nov-19,1934266,5619032,-39.513351,176.887934,16/12/2019 11:00,13886,,12,12478
2181,AHURIRI LANE,876,NCC,Kerb,,98,L,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,0.9,3,,19-Nov-19,1936007,5622755,-39.479205,176.906258,27/11/2019 11:24,12988,,13,1911
2181,AHURIRI LANE,876,NCC,Kerb,,107,L,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,0.9,3,,19-Nov-19,1936008,5622746,-39.479284,176.906279,27/11/2019 11:24,12995,,14,1912
101,AINTREE PL,841,NCC,Middle,21 (Opposite #8-546),123,L,Footpath,Urban,Concrete,Scabbing,Age,1x1,1,1.2,3,,19-Nov-19,1931098,5615936,-39.542411,176.85271,9/01/2020 13:59,19254,,15,16514
1000100,AINTREE PL EXTENSION,844,NCC,,,7,C,Footpath,Urban,Other,Crack,Vehicles,1x1,1,1.4,3,,19-Nov-19,1931082,5615875,-39.542965,176.852551,9/01/2020 13:58,19221,,16,16513
100,AINTREE PL EXTENSION,844,NCC,Kerb,7 (Opposite #19),7,L,Footpath,Urban,Concrete,Trip Hazard,Service Cover,1x1,1,1,3,,19-Nov-19,1931107,5615894,-39.542781,176.852824,9/01/2020 13:58,19196,,17,16512
3450,AKAROA RD,938,NCC,Middle,2,12,R,Pram Crossing,Urban,Concrete,Scabbing,Age,1x2,1,1.5,4,,19-Nov-19,1932677,5620236,-39.503138,176.868885,27/11/2019 18:14,27863,,18,2434
3450,AKAROA RD,938,NCC,Middle,2,12,R,Pram Crossing,Urban,Concrete,Trip Hazard,Age,1x2,1,1.5,3,,19-Nov-19,1932677,5620236,-39.503138,176.868885,27/11/2019 18:14,27871,,19,2435
3450,AKAROA RD,938,NCC,Middle,14,132,R,Pram Crossing,Urban,Concrete,Crack,Vehicles,1x2,1,1.5,3,,19-Nov-19,1932558,5620257,-39.503002,176.867499,27/11/2019 18:13,27811,,20,2433
3450,AKAROA RD,938,NCC,Middle,22 (Opposite #17),206,R,Footpath,Urban,Concrete,Trip Lip,Trees,1x2,1,1.5,3,,19-Nov-19,1932486,5620242,-39.503165,176.866669,27/11/2019 18:12,27744,,21,2432
3450,AKAROA RD,938,NCC,Middle,22 (Opposite #17),207,R,Pram Crossing,Urban,Concrete,Crack,Vehicles,1x2,1,1.5,4,,19-Nov-19,1932485,5620241,-39.503167,176.86666,27/11/2019 18:12,27733,,22,2431
