id,project,roadid,carriage,location,starterp,enderp,side,position,class,fault,repair,priority,comment,length,width,faulttime,inspector,inspection,seq,photoid,geom,,
MDC_RD_0521_3127,MDC_RD_0521,1318,3064,ACCOLADE STREET,27,29,R,2(Opp)1,DRA,Broken (K&C),Replace (K&C),3,,2,1,3/05/2021 16:29,SF,2021_05,1,MDC_C10_210503_32606,,,
MDC_RD_0521_3120,MDC_RD_0521,1318,3064,ACCOLADE STREET,29,32,L,1(Opp)2,PVM,Joint Cracking,Jointseal,3,,3,1,3/05/2021 16:27,SF,2021_05,2,MDC_C10_210503_32316,,,
MDC_RD_0521_3121,MDC_RD_0521,1318,3064,ACCOLADE STREET,69.9,73.9,L,3(Opp)6,DRA,Broken (K&C),Replace (K&C),3,,4,1,3/05/2021 16:27,SF,2021_05,3,MDC_C10_210503_32326,,,
MDC_RD_0521_3123,MDC_RD_0521,1318,3064,ACCOLADE STREET,136.8,139.8,L,7(Opp)14,DRA,Broken (K&C),Replace (K&C),3,,3,1,3/05/2021 16:28,SF,2021_05,4,MDC_C10_210503_32418,,,
MDC_RD_0521_3124,MDC_RD_0521,1318,3064,ACCOLADE STREET,231.1,234.1,L,11(Opp)26,DRA,Broken (K&C),Replace (K&C),3,,3,1,3/05/2021 16:28,SF,2021_05,5,MDC_C10_210503_32438,,,
MDC_RD_0521_3125,MDC_RD_0521,1318,3064,ACCOLADE STREET,276,279,L,15(Opp)30,DRA,Broken (K&C),Replace (K&C),3,,3,1,3/05/2021 16:28,SF,2021_05,6,MDC_C10_210503_32446,,,
MDC_RD_0521_3126,MDC_RD_0521,1318,3064,ACCOLADE STREET,281,284,R,30(Opp)17-1/98,DRA,Broken (K&C),Replace (K&C),3,,3,1,3/05/2021 16:29,SF,2021_05,7,MDC_C10_210503_32560,,,
MDC_RD_0521_12998,MDC_RD_0521,550,2728,A'COURT STREET,104.9,164.9,L,,PVM,Shoulder Damage,Shoulder Repair,3,,60,1,6/05/2021 16:15,RB,2021_05,8,MDC_C12_210506_38734,,,
MDC_RD_0521_12999,MDC_RD_0521,550,2466,A'COURT STREET,291.4,306.4,L,,PVM,Flushing,Water Cutting,3,,15,2,6/05/2021 16:15,RB,2021_05,9,MDC_C12_210506_38776,,,
MDC_RD_0521_13000,MDC_RD_0521,550,3173,A'COURT STREET,333.9,373.9,L,,PVM,Flushing,Water Cutting,3,,40,2,6/05/2021 16:15,RB,2021_05,10,MDC_C12_210506_38796,,,
MDC_RD_0521_13024,MDC_RD_0521,550,3173,A'COURT STREET,386.1,428.1,R,,PVM,Shoulder Damage,Shoulder Repair,3,,42,1,6/05/2021 16:21,RB,2021_05,11,MDC_C12_210506_39457,,,
MDC_RD_0521_4239,MDC_RD_0521,157,2126,ALMADALE ROAD,18,23,R,,PVM,Scabbing,Chipseal,3,,5,2,5/05/2021 16:32,SF,2021_05,12,MDC_C10_210505_14321,,,
MDC_RD_0521_4234,MDC_RD_0521,157,2126,ALMADALE ROAD,1235.1,1236.1,L,103(Opp)100,PVM,Edgebreak Patch,Edgebreak Repair,3,,1,1,5/05/2021 16:28,SF,2021_05,13,MDC_C10_210505_13796,,,
MDC_RD_0521_4238,MDC_RD_0521,157,2126,ALMADALE ROAD,1315,1321,R,,PVM,Scabbing,Chipseal,3,,6,2,5/05/2021 16:31,SF,2021_05,14,MDC_C10_210505_14137,,,
MDC_RD_0521_4237,MDC_RD_0521,157,2126,ALMADALE ROAD,1334,,R,,PVM,Pot Holes,Pothole Repair,1,,2,1,5/05/2021 16:31,SF,2021_05,15,MDC_C10_210505_14134,,,
MDC_RD_0521_4235,MDC_RD_0521,157,2126,ALMADALE ROAD,1631.8,1671.8,L,101,SHL,High Shoulder,Grade/Roll,2,,40,1,5/05/2021 16:28,SF,2021_05,16,MDC_C10_210505_13860,,,
MDC_RD_0521_4236,MDC_RD_0521,157,2126,ALMADALE ROAD,1658.1,1664.1,L,101,PVM,Scabbing,Chipseal,3,,6,2,5/05/2021 16:28,SF,2021_05,17,MDC_C10_210505_13866,,,
MDC_RD_0521_722,MDC_RD_0521,1265,2721,ALMOND GROVE,92.6,95.6,L,5(Opp)12,DRA,Broken (K&C),Replace (K&C),3,,3,1,1/05/2021 9:49,SF,2021_05,18,MDC_C10_210501_04359,,,
MDC_RD_0521_1601,MDC_RD_0521,100,894,ALVE ROAD,157.9,494.3,L,(Opp)7,DRA,Blocked SWC,Clear,2,,336.4,1,2/05/2021 11:15,SF,2021_05,19,MDC_C10_210502_23828,,,
MDC_RD_0521_1602,MDC_RD_0521,100,894,ALVE ROAD,469.4,470.4,L,(Opp)7,PVM,Edgebreak,Edgebreak Repair,2,,1,1,2/05/2021 11:15,SF,2021_05,20,MDC_C10_210502_23866,,,
MDC_RD_0521_1603,MDC_RD_0521,100,894,ALVE ROAD,445.5,488.4,R,7,DRA,Blocked SWC,Clear,2,,42.9,1,2/05/2021 11:15,SF,2021_05,21,MDC_C10_210502_23888,,,
MDC_RD_0521_3557,MDC_RD_0521,355,1437,ANDREW STREET,19.9,29.9,R,,PVM,Flushing,Water Cutting,3,,10,2,4/05/2021 13:27,SF,2021_05,22,MDC_C10_210504_12579,,,
MDC_RD_0521_3558,MDC_RD_0521,355,1437,ANDREW STREET,42.9,45.9,L,,DRA,Broken (K&C),Replace (K&C),3,,3,1,4/05/2021 13:27,SF,2021_05,23,MDC_C10_210504_12613,,,
MDC_RD_0521_3559,MDC_RD_0521,355,1437,ANDREW STREET,91.8,93.8,L,4(Opp)5,DRA,Broken (K&C),Replace (K&C),3,,2,1,4/05/2021 13:27,SF,2021_05,24,MDC_C10_210504_12623,,,
MDC_RD_0521_3556,MDC_RD_0521,355,1437,ANDREW STREET,83.8,95.8,R,5,DRA,Broken (K&C),Replace (K&C),3,,12,1,4/05/2021 13:26,SF,2021_05,25,MDC_C10_210504_12565,,,
MDC_RD_0521_3555,MDC_RD_0521,355,1437,ANDREW STREET,119.7,125.7,R,9(Opp)10,PVM,Flushing,Water Cutting,3,,6,1,4/05/2021 13:26,SF,2021_05,26,MDC_C10_210504_12559,,,
MDC_RD_0521_3560,MDC_RD_0521,355,1437,ANDREW STREET,141.7,144.7,L,10(Opp)9,DRA,Broken (K&C),Replace (K&C),2,,3,1,4/05/2021 13:27,SF,2021_05,27,MDC_C10_210504_12633,,,
MDC_RD_0521_3554,MDC_RD_0521,355,1437,ANDREW STREET,189.5,199.5,R,17(Opp)18-2/41,DRA,Broken (K&C),Replace (K&C),3,,10,1,4/05/2021 13:26,SF,2021_05,28,MDC_C10_210504_12544,,,
MDC_RD_0521_3561,MDC_RD_0521,355,1437,ANDREW STREET,231.4,233.4,L,22(Opp)21,DRA,Broken (K&C),Replace (K&C),2,,2,1,4/05/2021 13:27,SF,2021_05,29,MDC_C10_210504_12651,,,
MDC_RD_0521_3553,MDC_RD_0521,355,1437,ANDREW STREET,228.4,238.4,R,21(Opp)22,DRA,Broken (K&C),Replace (K&C),3,,10,1,4/05/2021 13:26,SF,2021_05,30,MDC_C10_210504_12534,,,
MDC_RD_0521_3552,MDC_RD_0521,355,1437,ANDREW STREET,295.3,297.3,R,,DRA,Broken (K&C),Replace (K&C),3,,2,1,4/05/2021 13:26,SF,2021_05,31,MDC_C10_210504_12518,,,
MDC_RD_0521_3562,MDC_RD_0521,355,1438,ANDREW STREET,372.1,373.1,L,38(Opp)37,DRA,Broken (K&C),Replace (K&C),1,,1,1,4/05/2021 13:27,SF,2021_05,32,MDC_C10_210504_12688,,,
MDC_RD_0521_3546,MDC_RD_0521,355,1438,ANDREW STREET,390,394,R,39-13/40(Opp)40,DRA,Broken (K&C),Replace (K&C),3,,4,1,4/05/2021 13:25,SF,2021_05,33,MDC_C10_210504_12414,,,
MDC_RD_0521_3563,MDC_RD_0521,355,1438,ANDREW STREET,401,411,L,40(Opp)39-13/40,PVM,Flushing,Water Cutting,3,,10,2,4/05/2021 13:28,SF,2021_05,34,MDC_C10_210504_12693,,,
MDC_RD_0521_1966,MDC_RD_0521,537,2359,ANGA STREET,235.1,241.1,L,(Opp)3,PVM,Flushing,Water Cutting,3,,6,2,2/05/2021 14:15,SF,2021_05,35,MDC_C10_210502_40236,,,
MDC_RD_0521_3748,MDC_RD_0521,374,1385,ANNE STREET,7.7,9.7,R,1(Opp)16,PVM,Scabbing,Chipseal,3,,2,1,4/05/2021 14:11,SF,2021_05,36,MDC_C10_210504_16791,,,
MDC_RD_0521_3747,MDC_RD_0521,374,1385,ANNE STREET,19.5,22.5,R,1(Opp)16,PVM,Flushing,Water Cutting,3,,3,1,4/05/2021 14:11,SF,2021_05,37,MDC_C10_210504_16785,,,
MDC_RD_0521_3738,MDC_RD_0521,374,1385,ANNE STREET,29.9,53.6,L,16(Opp)1,PVM,Flushing,Water Cutting,3,,23.7,1,4/05/2021 14:10,SF,2021_05,38,MDC_C10_210504_16705,,,
MDC_RD_0521_3739,MDC_RD_0521,374,1385,ANNE STREET,48,,L,14(Opp)1,PVM,Pothole Patch,Pothole Repair,3,,1,1,4/05/2021 14:10,SF,2021_05,39,MDC_C10_210504_16711,,,
MDC_RD_0521_3746,MDC_RD_0521,374,1385,ANNE STREET,49.8,50.8,R,1(Opp)14,PVM,Broken Surface (K&C),Level Mix,2,,1,1,4/05/2021 14:10,SF,2021_05,40,MDC_C10_210504_16773,,,
MDC_RD_0521_3740,MDC_RD_0521,374,1385,ANNE STREET,68.2,74.2,L,13(Opp)2,DRA,Broken (K&C),Replace (K&C),3,,6,1,4/05/2021 14:10,SF,2021_05,41,MDC_C10_210504_16719,,,
MDC_RD_0521_3741,MDC_RD_0521,374,1385,ANNE STREET,79.1,83.1,L,12(Opp)3,PVM,Flushing,Water Cutting,3,,4,1,4/05/2021 14:10,SF,2021_05,42,MDC_C10_210504_16723,,,
MDC_RD_0521_3745,MDC_RD_0521,374,1385,ANNE STREET,97.6,100.6,R,4(Opp)11-1010,DRA,Broken (K&C),Replace (K&C),3,,3,1,4/05/2021 14:10,SF,2021_05,43,MDC_C10_210504_16757,,,
MDC_RD_0521_3742,MDC_RD_0521,374,1385,ANNE STREET,106.4,109.4,L,11-1010(Opp)4,DRA,Broken (K&C),Replace (K&C),3,,3,1,4/05/2021 14:10,SF,2021_05,44,MDC_C10_210504_16733,,,
MDC_RD_0521_3743,MDC_RD_0521,374,1385,ANNE STREET,109.3,112.3,L,11-1010(Opp)6,PVM,Alligator Cracking (A/C Rd),Crackseal,2,,3,1,4/05/2021 14:10,SF,2021_05,45,MDC_C10_210504_16741,,,
MDC_RD_0521_3744,MDC_RD_0521,374,1385,ANNE STREET,106.3,112.3,L,6(Opp)11-1010,DRA,Broken (K&C),Replace (K&C),3,,6,1,4/05/2021 14:10,SF,2021_05,46,MDC_C10_210504_16745,,,
MDC_RD_0521_3866,MDC_RD_0521,126,900,AORANGI ROAD,19.8,20.8,L,near #15,PVM,Edgebreak,Edgebreak Repair,2,,1,1,4/05/2021 14:44,SF,2021_05,47,MDC_C10_210504_19302,,,
MDC_RD_0521_3972,MDC_RD_0521,126,900,AORANGI ROAD,122.9,132.9,R,(Opp)15,PVM,Scabbing,Chipseal,3,,10,1,4/05/2021 15:40,SF,2021_05,48,MDC_C10_210504_24701,,,
