id,project,Service,Group,Board,Area,RoadID,CarriageWa,Location,ERP,Side,Position,Class,Fault,Repair,Priority,Comment,Size,Length,Width,Total,Easting,Northing,Latitude,Longitude,FaultTime,Inspector,Inspection,Seq,FaultID,PhotoID
ASM_SH_0520_1,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,2304,002-0000,50,L,1,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,50,50,,50,1778843.967,5877735.952,-37.229752,175.015993,1/03/2020 9:50,SF,2020_02,1,1269,SH1C3_200301_16897
ASM_SH_0520_2,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,2304,002-0000,57,L,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,20x3,20,3,60,1778849.182,5877730.734,-37.229798,175.016053,23/05/2020 9:28,SF,2020_05,2,2461,SH1C3_200523_12431
ASM_SH_0520_3,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,465,002-0000,91,R,1,PVM,Ravelling,Mill and Fill,2,,60x3,60,3,180,1779349.832,5877877.464,-37.22838,175.021658,1/03/2020 8:52,SF,2020_02,3,1220,SH1C3_200301_09979
ASM_SH_0520_4,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,465,002-0000,936,L,2,PVM,Ravelling,Mill and Fill,2,,120x3,120,3,360,1780167.596,5878037.572,-37.22678,175.030832,1/03/2020 7:57,SF,2020_02,4,1144,SH1C3_200301_04166
ASM_SH_0520_5,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,465,002-0000,995,L,1,SHL,High Shoulder,High Shoulder Repair,2,,60,60,,60,1780226.937,5878039.629,-37.22675,175.0315,27/02/2020 11:45,SF,2020_02,5,962,SH1C3_200227_09141
ASM_SH_0520_6,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1154,L,1,SHL,High Shoulder,High Shoulder Repair,2,,100,100,,100,1780380.054,5878072.42,-37.226425,175.033217,27/02/2020 11:45,SF,2020_02,6,963,SH1C3_200227_09155
ASM_SH_0520_7,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1197,R,1,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,6x1,6,1,6,1780421.976,5878077.625,-37.22637,175.033688,23/05/2020 10:16,SF,2020_05,7,2478,SH1C3_200523_17851
ASM_SH_0520_8,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1454,R,1,DRA,Blocked Channel,Storm Water Maintenance,3,,10,10,,10,1780664.36,5878166.549,-37.225522,175.036397,27/02/2020 12:45,SF,2020_02,8,999,SH1C3_200227_14618
ASM_SH_0520_9,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1640,L,1,DRA,Blocked Channel,Storm Water Maintenance,1,,20,20,,20,1780836.887,5878238.876,-37.224837,175.038323,27/02/2020 11:45,SF,2020_02,9,964,SH1C3_200227_09197
ASM_SH_0520_10,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1761,R,1,DRA,Blocked Channel,Storm Water Maintenance,3,,60,60,,60,1780953.188,5878272.449,-37.224512,175.039625,27/02/2020 12:45,SF,2020_02,10,998,SH1C3_200227_14590
ASM_SH_0520_11,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1809,R,1,PVM,Deformation/Shoving (C/S Rd),Dig Out,3,,10x1,10,1,10,1780999.441,5878289.103,-37.224353,175.040142,1/03/2020 8:48,SF,2020_02,11,1219,SH1C3_200301_09793
ASM_SH_0520_12,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1828,L,1,PVM,Depression,Level Mix,2,,20x3,20,3,60,1781012.903,5878304.132,-37.224215,175.04029,1/03/2020 7:58,SF,2020_02,12,1145,SH1C3_200301_04244
ASM_SH_0520_13,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,2205,R,1,PVM,Flushing,Water Cutting,3,,60x3,60,3,180,1781361.944,5878443.689,-37.22289,175.044188,23/05/2020 10:15,SF,2020_05,13,2477,SH1C3_200523_17770
ASM_SH_0520_14,TEST,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,2286,R,1,PVM,Deformation/Shoving (C/S Rd),Dig Out,2,,6x1,6,1,6,1781416.252,5878504.347,-37.222333,175.044785,1/03/2020 8:48,SF,2020_02,14,1217,SH1C3_200301_09751
