id,project,service,group,board,area,roadid,carriageway,location,erp,side,position,class,fault,repair,priority,comment,size,length,width,total,latitude,longitude,faulttime,inspector,inspection,seq,photoid
TEST_ASM_100,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1985,3041,018-0000-D,1116,R,,SGN,Sign Missing,Sign Replace,99,Lane management Diverge,,,,,-36.752565,174.715485,2020-02-20 12:02:00,SF,2020_02,813,
TEST_ASM_1000,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1966,9688,01N-0478-R3,1276,R,1,DRA,Blocked Channel,Storm Water Maintenance,2,,120,120,,120,-37.2261,175.03451,2020-02-27 12:45:00,SF,2020_02,648,SH1C3_200227_14634
TEST_ASM_1002,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,215,2322,01N-0461/12.98-D,14361,R,3,PVM,Corrugations,Mill and Fill,3,,20x2,20,2,40,-37.222043,175.004068,2020-02-27 12:48:00,SF,2020_02,618,SH1C3_200227_14899
TEST_ASM_1004,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1742,2322,01N-0461/01.31-D,13903,R,3,MSC,Abandoned TTM,Pickup Abandoned TTM,2,,1,1,,1,-37.219048,175.000725,2020-02-27 12:48:00,SF,2020_02,599,SH1C3_200227_14941
TEST_ASM_1005,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1959,2333,01N-0472-R3,46,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,200x3,200,3,600,-37.195645,174.98475,2020-02-27 12:50:00,SF,2020_02,638,SH1C3_200227_15189
TEST_ASM_1010,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1742,2361,01N-0461/01.31-D,4302,L,3,PVM,Ravelling,Mill and Fill,3,,120x3,120,3,360,-37.140998,174.96796,2020-02-27 12:56:00,SF,2020_02,584,SH1C3_200227_15396
TEST_ASM_1013,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,212,2364,01N-0462-R3,0,R,1,PVM,Ravelling,Mill and Fill,3,,80x3,80,3,240,-37.110255,174.946642,2020-02-27 12:58:00,SF,2020_02,631,SH1C3_200227_15464
TEST_ASM_1014,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,212,2362,01N-0462-R3,219,L,1,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,2,,5x2,5,2,10,-37.108317,174.945778,2020-02-27 12:58:00,SF,2020_02,632,SH1C3_200227_15494
TEST_ASM_1015,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,212,2362,01N-0462-R3,246,L,1,PVM,Rutting,Structural Asphalt SAC,3,,20x3,20,3,60,-37.10808,174.945682,2020-02-27 12:58:00,SF,2020_02,633,SH1C3_200227_15502
TEST_ASM_1018,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,208,2374,01N-0462-R4,196,L,1,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,5x2,5,2,10,-37.105995,174.9457,2020-02-27 13:00:00,SF,2020_02,634,SH1C3_200227_15621
TEST_ASM_1019,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,208,10260,01N-0462-R4,13895,R,3,PVM,Ravelling,Mill and Fill,3,,180x2,180,2,360,-37.104788,174.945632,2020-02-27 13:00:00,SF,2020_02,635,SH1C3_200227_15633
TEST_ASM_1031,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,3231,9198,01N-0448-R3,225,L,1,MSC,Abandoned TTM,Pickup Abandoned TTM,2,,1,1,,1,-36.99638,174.887775,2020-02-27 13:15:00,SF,2020_02,575,SH1C3_200227_16504
TEST_ASM_1033,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,192,2450,01N-0448-R4,75,R,1,PVM,Ravelling,Mill and Fill,3,,200x3,200,3,600,-36.992132,174.886459,2020-02-27 13:18:00,SF,2020_02,576,SH1C3_200227_16555
TEST_ASM_1034,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2467,01N-0431/11.17-D,16627,L,4,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,10,10,,10,-36.990388,174.886805,2020-02-27 13:18:00,SF,2020_02,451,SH1C3_200227_16582
TEST_ASM_1035,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,187,2462,01N-0444-R4,205,L,1,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,30,30,,30,-36.962888,174.865858,2020-02-27 13:23:00,SF,2020_02,531,SH1C3_200227_16715
TEST_ASM_1036,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2213,01N-0431/11.17-D,12868,R,4,PVM,Ravelling,Mill and Fill,3,,60x3,60,3,180,-36.962302,174.86542,2020-02-27 13:23:00,SF,2020_02,441,SH1C3_200227_16725
